,Unnamed: 0,Unnamed: 0.1,time,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,mag_field_x,mag_field_y,mag_field_z,mag_new_data,pos_n,pos_e,pos_d,v_n,v_e,v_d,gnss_new_data,imu_new_data
76,76,76,0.8649988,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.300626,19.511066,43.218044,1,0.0102434907882619,-0.043880335211738,-0.3466601952117381,0.041391390188331,0.035309265188331,-0.0268435458116689,1,0.0
77,77,77,0.8739996,0.8280026,-0.5382609,-9.767501,0.04830664,0.003288243,-0.0075030015,-14.300626,19.511066,43.218044,0,0.0365415110616878,-0.0175997329383121,-0.3166456529383121,-0.0173449019569215,-0.0279597821569215,-0.0989362101569215,0,1.0
78,78,78,0.8830004,0.82777244,-0.5383335,-9.767462,0.05835998,-0.0013464608,-0.0013414114,-14.363404,19.38438,43.142887,1,-0.0715839795307407,-0.1258184265307407,-0.4255066465307408,-0.0181051704199542,-0.0282068174199542,-0.0999651614199542,0,1.0
79,79,79,0.89199924,0.87905115,-0.5216586,-9.750469,0.05103496,-0.0046823155,-0.0041685845,-14.361236,19.384212,43.291378,1,0.303143271914195,0.248819818914195,-0.0515173460858049,-0.1671057690252483,-0.1768763101252483,-0.2491957541252483,0,1.0
80,80,80,0.901,0.8861889,-0.5191097,-9.747872,0.025994325,-0.009171153,-0.00092735054,-14.48794,19.448795,43.21488,1,-0.0322053635737286,-0.0866168235737286,-0.3876051735737286,0.1069927387321695,0.0971983532521695,0.0248222562521695,0,1.0
81,81,81,0.91100025,0.8862029,-0.5191048,-9.747867,-0.014112242,-0.027614215,0.0033729342,-14.48794,19.448795,43.21488,0,0.1949521256135218,0.1404522936135218,-0.1611876263864781,0.0047616648920565,-0.0050823559819434,-0.0774961419819434,0,1.0
82,82,82,0.9199991,0.9887612,-0.50498354,-9.85104,-0.053261865,-0.047867835,0.011669699,-14.424269,19.448267,43.290215,1,0.0762240507142597,0.0216351537142597,-0.2806567462857403,0.0460374092408205,0.0359665051468205,-0.0365330318531794,0,1.0
83,83,83,0.9289999,1.0224756,-0.49988586,-9.884956,-0.08635582,-0.06658133,0.0066499105,-14.361236,19.384212,43.291378,1,-0.1658571904359466,-0.2205400954359466,-0.5234855754359466,-0.1677446227058818,-0.1785590389058818,-0.2513065549058819,0,1.0
84,84,84,0.9379988,1.0225415,-0.4998759,-9.885022,-0.10362518,-0.073695906,0.007872128,-14.2982025,19.32016,43.29254,1,0.0599405948453287,0.0051572658453287,-0.2984440341546712,0.0062221642918422,-0.0052673137681577,-0.0782536467681577,0,1.0
85,85,85,0.947999,1.0812768,-0.5434413,-9.782462,-0.108252235,-0.0720298,0.0044164653,-14.296671,19.256468,43.366867,1,-0.0589068130458806,-0.1138325020458806,-0.4183108820458806,0.0782494051867998,0.0661255868867998,-0.0067704756132001,0,1.0
